Letter, Position, , , , ,Total
A,737,2263,1236,1074,680,5990
B,909,81,335,243,59,1627
C,922,176,392,411,127,2028
D,685,84,390,471,823,2453
E,303,1628,882,2327,1522,6662
F,598,24,178,233,82,1115
G,638,76,364,423,143,1644
H,489,546,120,235,370,1760
I,165,1383,1051,880,280,3759
J,202,11,46,29,3,291
K,376,95,272,503,259,1505
L,577,699,848,771,476,3371
M,693,188,511,402,182,1976
N,325,345,964,788,530,2952
O,262,2096,993,698,389,4438
P,859,231,364,418,147,2019
Q,78,15,13,2,4,112
R,628,940,1198,719,673,4158
S,1565,93,533,516,3958,6665
T,815,239,616,898,727,3295
U,189,1187,667,401,67,2511
V,242,52,240,156,4,694
W,413,163,271,128,64,1039
X,16,57,133,12,70,288
Y,181,271,213,108,1301,2074
Z,105,29,142,126,32,434
